Crime_ID,Crime_Desc
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
440,THEFT PLAIN - PETTY ($950 & UNDER)
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
626,INTIMATE PARTNER - SIMPLE ASSAULT
210,ROBBERY
662,"BUNCO, GRAND THEFT"
901,VIOLATION OF RESTRAINING ORDER
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
761,BRANDISH WEAPON
352,PICKPOCKET
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
510,VEHICLE - STOLEN
310,BURGLARY
888,TRESPASSING
354,THEFT OF IDENTITY
930,CRIMINAL THREATS - NO WEAPON DISPLAYED
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
625,OTHER ASSAULT
520,VEHICLE - ATTEMPT STOLEN
903,CONTEMPT OF COURT
624,BATTERY - SIMPLE ASSAULT
664,"BUNCO, PETTY THEFT"
330,BURGLARY FROM VEHICLE
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
940,EXTORTION
900,VIOLATION OF COURT ORDER
648,ARSON
668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
437,RESISTING ARREST
236,INTIMATE PARTNER - AGGRAVATED ASSAULT
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
946,OTHER MISCELLANEOUS CRIME
350,"THEFT, PERSON"
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
320,"BURGLARY, ATTEMPTED"
220,ATTEMPTED ROBBERY
438,RECKLESS DRIVING
480,BIKE - STOLEN
813,CHILD ANNOYING (17YRS & UNDER)
666,"BUNCO, ATTEMPT"
649,DOCUMENT FORGERY / STOLEN FELONY
410,"BURGLARY FROM VEHICLE, ATTEMPTED"
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
753,DISCHARGE FIREARMS/SHOTS FIRED
110,CRIMINAL HOMICIDE
933,PROWLER
434,FALSE IMPRISONMENT
820,ORAL COPULATION
860,BATTERY WITH SEXUAL CONTACT
121,"RAPE, FORCIBLE"
806,PANDERING
886,DISTURBING THE PEACE
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER"
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
622,BATTERY ON A FIREFIGHTER
441,THEFT PLAIN - ATTEMPT
910,KIDNAPPING
850,INDECENT EXPOSURE
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
647,THROWING OBJECT AT MOVING VEHICLE
237,CHILD NEGLECT (SEE 300 W.I.C.)
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)"
890,FAILURE TO YIELD
661,UNAUTHORIZED COMPUTER ACCESS
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
949,ILLEGAL DUMPING
922,CHILD STEALING
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
815,SEXUAL PENETRATION W/FOREIGN OBJECT
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
623,BATTERY POLICE (SIMPLE)
902,VIOLATION OF TEMPORARY RESTRAINING ORDER
928,THREATENING PHONE CALLS/LETTERS
932,PEEPING TOM
943,CRUELTY TO ANIMALS
436,LYNCHING - ATTEMPTED
920,KIDNAPPING - GRAND ATTEMPT
763,STALKING
251,SHOTS FIRED AT INHABITED DWELLING
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
122,"RAPE, ATTEMPTED"
944,CONSPIRACY
487,BOAT - STOLEN
760,LEWD/LASCIVIOUS ACTS WITH CHILD
439,FALSE POLICE REPORT
653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
755,BOMB SCARE
433,DRIVING WITHOUT OWNER CONSENT (DWOC)
762,LEWD CONDUCT
814,CHILD PORNOGRAPHY
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01"
882,INCITING A RIOT
444,DISHONEST EMPLOYEE - PETTY THEFT
805,PIMPING
421,THEFT FROM MOTOR VEHICLE - ATTEMPT
443,SHOPLIFTING - ATTEMPT
948,BIGAMY
756,WEAPONS POSSESSION/BOMBING
660,COUNTERFEIT
474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
450,THEFT FROM PERSON - ATTEMPT
870,CHILD ABANDONMENT
345,DISHONEST EMPLOYEE - GRAND THEFT
113,"MANSLAUGHTER, NEGLIGENT"
651,DOCUMENT WORTHLESS ($200.01 & OVER)
351,PURSE SNATCHING
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
435,LYNCHING
954,CONTRIBUTING
452,"PICKPOCKET, ATTEMPT"
353,DRUNK ROLL
349,GRAND THEFT / AUTO REPAIR
471,TILL TAP - PETTY ($950 & UNDER)
470,TILL TAP - GRAND THEFT ($950.01 & OVER)
473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
432,BLOCKING DOOR INDUCTION CENTER
347,GRAND THEFT / INSURANCE FRAUD
942,BRIBERY
880,DISRUPT SCHOOL
451,PURSE SNATCHING - ATTEMPT
652,DOCUMENT WORTHLESS ($200 & UNDER)
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
445,DISHONEST EMPLOYEE ATTEMPTED THEFT
840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM"
884,FAILURE TO DISPERSE
904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)
865,"DRUGS, TO A MINOR"
924,TELEPHONE PROPERTY - DAMAGE
446,PETTY THEFT - AUTO REPAIR
475,"THEFT, COIN MACHINE - ATTEMPT"
926,TRAIN WRECKING
453,DRUNK ROLL - ATTEMPT
